Country/Region,Confirmed,Deaths,Recovered,Active,New cases,WHO Region
Afghanistan,36263,1269,25198,9796,106,Eastern Mediterranean
Albania,4880,144,2745,1991,117,Europe
Algeria,27973,1163,18837,7973,616,Africa
Andorra,907,52,803,52,10,Europe
Angola,950,41,242,667,18,Africa
Antigua and Barbuda,86,3,65,18,4,Americas
Argentina,167416,3059,72575,91782,4890,Americas
Armenia,37390,711,26665,10014,73,Europe
Australia,15303,167,9311,5825,368,Western Pacific
Austria,20558,713,18246,1599,86,Europe
Azerbaijan,30446,423,23242,6781,396,Europe
Bahamas,382,11,91,280,40,Americas
Bahrain,39482,141,36110,3231,351,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,2772,South-East Asia
Barbados,110,7,94,9,0,Americas
Belarus,67251,538,60492,6221,119,Europe
Belgium,66428,9822,17452,39154,402,Europe
Belize,48,2,26,20,0,Americas
Benin,1770,35,1036,699,0,Africa
Bhutan,99,0,86,13,4,South-East Asia
Bolivia,71181,2647,21478,47056,1752,Americas
Bosnia and Herzegovina,10498,294,4930,5274,731,Europe
Botswana,739,2,63,674,53,Africa
Brazil,2442375,87618,1846641,508116,23284,Americas
Brunei,141,3,138,0,0,Western Pacific
Bulgaria,10621,347,5585,4689,194,Europe
Burkina Faso,1100,53,926,121,14,Africa
Burma,350,6,292,52,0,South-East Asia
Burundi,378,1,301,76,17,Africa
Cabo Verde,2328,22,1550,756,21,Africa
Cambodia,226,0,147,79,1,Western Pacific
Cameroon,17110,391,14539,2180,402,Africa
Canada,116458,8944,0,107514,682,Americas
Central African Republic,4599,59,1546,2994,0,Africa
Chad,922,75,810,37,7,Africa
Chile,347923,9187,319954,18782,2133,Americas
China,86783,4656,78869,3258,213,Western Pacific
Colombia,257101,8777,131161,117163,16306,Americas
Comoros,354,7,328,19,0,Africa
Congo (Brazzaville),3200,54,829,2317,162,Africa
Congo (Kinshasa),8844,208,5700,2936,13,Africa
Costa Rica,15841,115,3824,11902,612,Americas
Cote d'Ivoire,15655,96,10361,5198,59,Africa
Croatia,4881,139,3936,806,24,Europe
Cuba,2532,87,2351,94,37,Americas
Cyprus,1060,19,852,189,3,Europe
Czechia,15516,373,11428,3715,192,Europe
Denmark,13761,613,12605,543,109,Europe
Djibouti,5059,58,4977,24,9,Eastern Mediterranean
Dominica,18,0,18,0,0,Americas
Dominican Republic,64156,1083,30204,32869,1248,Americas
Ecuador,81161,5532,34896,40733,467,Americas
Egypt,92482,4652,34838,52992,420,Eastern Mediterranean
El Salvador,15035,408,7778,6849,405,Americas
Equatorial Guinea,3071,51,842,2178,0,Africa
Eritrea,265,0,191,74,2,Africa
Estonia,2034,69,1923,42,0,Europe
Eswatini,2316,34,1025,1257,109,Africa
Ethiopia,14547,228,6386,7933,579,Africa
Fiji,27,0,18,9,0,Western Pacific
Finland,7398,329,6920,149,5,Europe
France,220352,30212,81212,108928,2551,Europe
Gabon,7189,49,4682,2458,205,Africa
Gambia,326,8,66,252,49,Africa
Georgia,1137,16,922,199,6,Europe
Germany,207112,9125,190314,7673,445,Europe
Ghana,33624,168,29801,3655,655,Africa
Greece,4227,202,1374,2651,34,Europe
Greenland,14,0,13,1,1,Europe
Grenada,23,0,23,0,0,Americas
Guatemala,45309,1761,32455,11093,256,Americas
Guinea,7055,45,6257,753,47,Africa
Guinea-Bissau,1954,26,803,1125,0,Africa
Guyana,389,20,181,188,19,Americas
